"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Регистрация нового пользователя должна проходить успешно (200 OK).","2145","test_register_new_user_success","tests","Wed Jul 23 07:33:37 HKT 2025","passed","Wed Jul 23 07:33:39 HKT 2025","TestUserRegister","test_user_register","",""
"Без токена GET /orders должен вернуть 401 Unauthorized (или 403/400 в старых версиях API).","800","test_get_orders_unauthorized_failed","tests","Wed Jul 23 07:33:33 HKT 2025","passed","Wed Jul 23 07:33:33 HKT 2025","TestOrderRetrieve","test_orders_retrieve","",""
"Повторная регистрация того же пользователя должна возвращать ошибку 403.","2810","test_register_existing_user_failed","tests","Wed Jul 23 07:33:39 HKT 2025","passed","Wed Jul 23 07:33:42 HKT 2025","TestUserRegister","test_user_register","",""
"Попытка создать заказ без токена: API может разрешить анонимный заказ (200) или вернуть ошибку (400/401). Проверяем оба варианта.","757","test_create_order_unauthorized_behavior","tests","Wed Jul 23 07:33:19 HKT 2025","passed","Wed Jul 23 07:33:20 HKT 2025","TestOrderCreate","test_orders_create","",""
"Пустой список ингредиентов — Bad Request (400).","922","test_create_order_no_ingredients_failed","tests","Wed Jul 23 07:33:21 HKT 2025","passed","Wed Jul 23 07:33:22 HKT 2025","TestOrderCreate","test_orders_create","",""
"Авторизация с корректными учетными данными должна проходить успешно (200).","812","test_login_success","tests","Wed Jul 23 07:33:34 HKT 2025","passed","Wed Jul 23 07:33:35 HKT 2025","TestUserLogin","test_user_login","",""
"Авторизованный пользователь может создать заказ с реальными ингредиентами.","3590","test_create_order_auth_success","tests","Wed Jul 23 07:33:14 HKT 2025","passed","Wed Jul 23 07:33:18 HKT 2025","TestOrderCreate","test_orders_create","",""
"Неверный ID ингредиента — сервер возвращает ошибку 400 или 500.","951","test_create_order_invalid_ingredient_failed","tests","Wed Jul 23 07:33:24 HKT 2025","passed","Wed Jul 23 07:33:25 HKT 2025","TestOrderCreate","test_orders_create","",""
"Авторизованный пользователь может изменить свои данные (имя, email или пароль).","767","test_update_user_with_auth","tests","Wed Jul 23 07:33:43 HKT 2025","passed","Wed Jul 23 07:33:44 HKT 2025","TestUserUpdate","test_user_update","",""
"Авторизованный пользователь может получить список своих заказов (200 OK). Сначала создаём заказ с реальными ингредиентами, затем проверяем, что он отобразился в GET /api/orders.","4623","test_get_orders_auth_success","tests","Wed Jul 23 07:33:27 HKT 2025","passed","Wed Jul 23 07:33:31 HKT 2025","TestOrderRetrieve","test_orders_retrieve","",""
"Попытка авторизации с неверным логином/паролем должна возвращать 401.","812","test_login_wrong_credentials","tests","Wed Jul 23 07:33:36 HKT 2025","passed","Wed Jul 23 07:33:37 HKT 2025","TestUserLogin","test_user_login","",""
"Запрос на изменение профиля без токена должен возвращать 401 Unauthorized.","728","test_update_user_without_auth","tests","Wed Jul 23 07:33:45 HKT 2025","passed","Wed Jul 23 07:33:46 HKT 2025","TestUserUpdate","test_user_update","",""
